# Index		Plot Coordinate		Eigenvector Energy


          35  -4.000000      0.13594789803028107     
          35   4.000000      0.13594789803028107     
 
 
          36  -4.000000      0.13627815246582031     
          36   4.000000      0.13627815246582031     
 
 
          37  -4.000000      0.13630047440528870     
          37   4.000000      0.13630047440528870     
 
 
          38  -4.000000      0.13660635054111481     
          38   4.000000      0.13660635054111481     
 
 
          39  -4.000000      0.13661821186542511     
          39   4.000000      0.13661821186542511     
 
 
          40  -4.000000      0.13662776350975037     
          40   4.000000      0.13662776350975037     
 
 
          41  -4.000000      0.13748960196971893     
          41   4.000000      0.13748960196971893     
 
 
          42  -4.000000      0.13749806582927704     
          42   4.000000      0.13749806582927704     
 
 
          43  -4.000000      0.13780519366264343     
          43   4.000000      0.13780519366264343     
 
 
          44  -4.000000      0.13783918321132660     
          44   4.000000      0.13783918321132660     
 
 
          45  -4.000000      0.13792090117931366     
          45   4.000000      0.13792090117931366     
 
 
          46  -4.000000      0.13800147175788879     
          46   4.000000      0.13800147175788879     
 
 
          47  -4.000000      0.13874261081218719     
          47   4.000000      0.13874261081218719     
 
 
          48  -4.000000      0.13875830173492432     
          48   4.000000      0.13875830173492432     
 
 
          49  -4.000000      0.13888242840766907     
          49   4.000000      0.13888242840766907     
 
 
          50  -4.000000      0.13888283073902130     
          50   4.000000      0.13888283073902130     
 
 
          51  -4.000000      0.13892103731632233     
          51   4.000000      0.13892103731632233     
 
 
          52  -4.000000      0.13892702758312225     
          52   4.000000      0.13892702758312225     
 
 
          53  -4.000000      0.13922601938247681     
          53   4.000000      0.13922601938247681     
 
 
          54  -4.000000      0.13925531506538391     
          54   4.000000      0.13925531506538391     
 
 
          55  -4.000000      0.13950695097446442     
          55   4.000000      0.13950695097446442     
 
 
          56  -4.000000      0.14007356762886047     
          56   4.000000      0.14007356762886047     
 
 
          57  -4.000000      0.14007827639579773     
          57   4.000000      0.14007827639579773     
 
 
          58  -4.000000      0.14009958505630493     
          58   4.000000      0.14009958505630493     
 
 
          59  -4.000000      0.14013159275054932     
          59   4.000000      0.14013159275054932     
 
 
          60  -4.000000      0.14092881977558136     
          60   4.000000      0.14092881977558136     
 
 
          61  -4.000000      0.14094214141368866     
          61   4.000000      0.14094214141368866     
 
 
          62  -4.000000      0.14118346571922302     
          62   4.000000      0.14118346571922302     
 
 
          63  -4.000000      0.14119032025337219     
          63   4.000000      0.14119032025337219     
 
 
          64  -4.000000      0.14132682979106903     
          64   4.000000      0.14132682979106903     
 
 
          65  -4.000000      0.14133280515670776     
          65   4.000000      0.14133280515670776     
 
 
          66  -4.000000      0.14140795171260834     
          66   4.000000      0.14140795171260834     
 
 
          67  -4.000000      0.14148551225662231     
          67   4.000000      0.14148551225662231     
 
 
          68  -4.000000      0.14175762236118317     
          68   4.000000      0.14175762236118317     
 
 
          69  -4.000000      0.14182448387145996     
          69   4.000000      0.14182448387145996     
 
 
          70  -4.000000      0.14240846037864685     
          70   4.000000      0.14240846037864685     
 
 
          71  -4.000000      0.14240944385528564     
          71   4.000000      0.14240944385528564     
 
 
          72  -4.000000      0.14242334663867950     
          72   4.000000      0.14242334663867950     
 
 
          73  -4.000000      0.14260911941528320     
          73   4.000000      0.14260911941528320     
 
 
          74  -4.000000      0.142612144357555     
          74   4.000000      0.142612144357555     
 
 
          75  -4.000000      0.14278675615787506     
          75   4.000000      0.14278675615787506     
 
 
